epsilon,N,majorant_te_robust,majorant_te_cvar,majorant_val_robust,majorant_val_cvar,erm_alpha0,erm_lambda_l1,erm_te_robust,erm_te_cvar,erm_val_robust,erm_val_cvar,baseline_model,majorant_test_robust_adv_pct,majorant_test_cvar_adv_pct,majorant_val_robust_adv_pct,majorant_val_cvar_adv_pct
0.15,1,0.3376407068562462,1.7437975665436372,0.3290450955350033,1.7713476798092664,0.015,0.0,0.3158730337990748,2.536774732577018,0.3029318523767719,2.555134005902639,erm,-6.891272988823012,31.25926617961162,-8.620170825005554,30.67495968049975
0.15,2,0.3330104790298628,2.070684778883674,0.3232750490866453,2.1260207927378674,0.015,0.0,0.33471286194044436,2.991857082307088,0.3185794630492662,3.042318477282936,erm,0.5086099472581554,30.789315066917478,-1.473913601471835,30.118401192612975
0.15,4,0.3264662612810908,1.9598727388527037,0.3185750420438261,2.0115921139848902,0.015,0.0,0.34949756301676543,3.2733559288653082,0.33414766574550425,3.349107587584831,erm,6.589831853725923,40.126500709255794,4.660401761878143,39.93647378060118
0.15,8,0.3219429329725125,1.9581038422082688,0.31398834747034327,2.0060161404830574,0.015,0.0,0.3616830589120461,3.4746334067548,0.3457399519219411,3.574070068819256,erm,10.987555253230042,43.6457429321421,9.183666589612567,43.87306063236268
0.15,16,0.3130710846670022,1.9522893592884436,0.30503788994788117,2.001423806015512,0.015,0.0,0.37203708230562843,3.6298866510030394,0.354819425693385,3.752782575339708,erm,15.849494699075642,46.216244555488494,14.030104368784539,46.668271720102524
0.15,64,0.29725495752845316,1.9658563134706282,0.2910549433458067,2.0094151138439083,0.015,0.0,0.38067530938472716,3.756474323562139,0.3622226403964565,3.9001159870476307,erm,21.91378053677911,47.66751628941065,19.64750104321364,48.478067818566956
0.15,256,0.2690488126925497,1.8484748839661378,0.26243602517745435,1.8624137071133546,0.015,0.0,0.3880741557351147,3.863825875709998,0.3698547833858145,4.025660696737114,erm,30.6707729137746,52.15946723721159,29.04349572689077,53.736446078953406
0.25,1,0.5095291765831056,1.6306040716863877,0.50339025173085,1.656021954817291,0.015,0.0,0.6852906884371223,4.200366416672489,0.6565031365244591,4.213641697631852,erm,25.64773092931692,61.17948031357358,23.322490979127974,60.698557835422804
0.25,2,0.5725292489541316,2.4831775095738435,0.5606929551315497,2.526130170484288,0.015,0.0,0.7840893356187143,5.093624404084688,0.7574320061017026,5.146522813235791,erm,26.981630415575477,51.249300840035836,25.974483436832234,50.91578795711146
0.25,4,0.5401074719643846,2.260584919139025,0.5292508463702509,2.2993921418212637,0.015,0.0,0.8514039096985565,5.644083110770984,0.8245487067560507,5.723684464857895,erm,36.562721193562275,59.94770320045432,35.81327069780561,59.82671379005949
0.25,8,0.5370055735315689,2.268201037365759,0.5251664133791666,2.301737761785261,0.015,0.0,0.9014160488486146,6.040645346417848,0.8716024903458882,6.142189614139594,erm,40.42644634322963,62.451014630236145,39.747026976625705,62.52577816082789
0.25,16,0.5127609094866623,2.2183600901415566,0.5001664387818033,2.255009270855287,0.015,0.0,0.9409142272928601,6.347870225117678,0.9080355549283006,6.47381082526154,erm,45.50396894710094,65.05347444937041,44.9177473208858,65.16720473116104
0.25,64,0.4739452989074113,2.1748222915031787,0.4631130037400465,2.2081798794913157,0.015,0.0,0.9752231882080791,6.599759638088885,0.941201488689383,6.74913496474539,erm,51.40135051769424,67.04694699861903,50.795551292111924,67.28203108952617
0.25,256,0.3964727095864345,1.903728560915368,0.38780655390681823,1.903706744904423,0.015,0.0,1.0040733200308343,6.812946147914521,0.968968959510784,6.984500111534179,erm,60.513569907996455,72.05719053719352,59.977401742299854,72.74383686012621
0.35,1,0.6617587045770135,2.081059946398901,0.656008118439108,2.1087738460935537,0.015,0.0,1.2404653315567884,5.953867803871502,1.2208808900144574,5.961195089810731,erm,46.65238215513013,65.0469238661011,46.26763971779919,64.62498183127727
0.35,2,0.8827466621234125,3.3506846567122444,0.8705408774553554,3.382289621936941,0.015,0.0,1.4959240731118126,7.281900614314681,1.4740500873445432,7.323853711350965,erm,40.98987522226793,53.986124856943185,40.942245794129796,53.81817066205381
0.35,4,0.801547478395222,2.9811487463709647,0.7882380517621353,3.0122915743008485,0.015,0.0,1.6524698389344974,8.099894830603791,1.6287734807742598,8.167400962748456,erm,51.49397226444659,63.19521662050098,51.60542205123357,63.11811324018594
0.35,8,0.7703245056840722,2.92532190361627,0.7565209249440212,2.9364525574241966,0.015,0.0,1.7635801491403502,8.690143232319244,1.7375525274321517,8.779247659457173,erm,56.32041412693585,66.33747194480299,56.4605436094615,66.55234398973818
0.35,16,0.6904614274833284,2.715508153048284,0.6747327294005119,2.733979199565641,0.015,0.0,1.8486979615462436,9.149634645248122,1.8203196601657965,9.263998557655356,erm,62.65147461374225,70.32113020536194,62.93328341358151,70.48813012490808
0.35,64,0.5918670808270793,2.4737780480723677,0.5897813059104856,2.497475200429969,0.015,0.0,1.9181657682942326,9.524446610152282,1.8874020827455442,9.664470898852654,erm,69.1441120152296,74.02706793027195,68.75168723706454,74.15817972273615
0.35,256,0.4504370544472562,1.9890856907832006,0.4553665905770587,1.9958393734892617,0.015,0.0,1.9810474407637304,9.840779448863756,1.9474684487929301,10.005736493080192,erm,77.26268209540684,79.78731561743449,76.61751126908877,80.05304881984898
