epsilon,N,erm_robust,direct_robust,majorant_robust,erm_cvar,direct_cvar,majorant_cvar,majorant_vs_direct_robust_adv_pct,majorant_vs_direct_cvar_adv_pct
0.15,1,0.3158730337990748,0.3337343694669145,0.3376407068562462,2.536774732577018,2.0572072258403358,1.7437975665436372,-1.1704929868540193,15.234715071967331
0.15,2,0.33471286194044436,0.3581024444105968,0.3330104790298628,2.991857082307088,2.623488866420786,2.070684778883674,7.00692379300371,21.071333467913664
0.15,4,0.34949756301676543,0.33539850467450527,0.3264662612810908,3.2733559288653082,2.3319421850857767,1.9598727388527037,2.663173290555652,15.955346089310828
0.15,8,0.3616830589120461,0.3297448109931364,0.3219429329725125,3.4746334067548,2.332866597790648,1.9581038422082688,2.366035115799389,16.064474322590932
0.15,16,0.37203708230562843,0.31452700703923164,0.3130710846670022,3.6298866510030394,2.300805238139283,1.9522893592884436,0.46289264185439805,15.147561083122907
0.15,64,0.38067530938472716,0.30164079324209037,0.29725495752845316,3.756474323562139,2.2837251710298183,1.9658563134706282,1.4539928988043844,13.918875247841273
0.15,256,0.3880741557351147,0.28487631816701564,0.2690488126925497,3.863825875709998,2.2004008947170353,1.8484748839661378,5.555921803646266,15.993722398306609
0.25,1,0.6852906884371223,0.6013281598861072,0.5095291765831056,4.200366416672489,2.871279616386309,1.6306040716863877,15.266037652450624,43.20984754042839
0.25,2,0.7840893356187143,0.7493330458749183,0.5725292489541316,5.093624404084688,4.002175400607378,2.4831775095738435,23.594821807751895,37.95430582085453
0.25,4,0.8514039096985565,0.6966237818238252,0.5401074719643846,5.644083110770984,3.708820157187632,2.260584919139025,22.467839017735876,39.048408298848116
0.25,8,0.9014160488486146,0.6354172834298828,0.5370055735315689,6.040645346417848,3.4821870667985606,2.268201037365759,15.487729475519295,34.862745916430946
0.25,16,0.9409142272928601,0.5436770477648153,0.5127609094866623,6.347870225117678,3.1989843937226583,2.2183600901415566,5.6864895079269075,30.654238435966523
0.25,64,0.9752231882080791,0.4969366606615834,0.4739452989074113,6.599759638088885,3.088970332206589,2.1748222915031787,4.626618153622055,29.59394045233169
0.25,256,1.0040733200308343,0.407048277700674,0.3964727095864345,6.812946147914521,2.6903726101535157,1.903728560915368,2.598111500183354,29.23922308268151
0.35,1,1.2404653315567884,0.9587405212273155,0.6617587045770135,5.953867803871502,3.9059342106690904,2.081059946398901,30.976245404765592,46.72055815188927
0.35,2,1.4959240731118126,1.2047502908835799,0.8827466621234125,7.281900614314681,5.035819442775862,3.3506846567122444,26.727831584419512,33.46297072825018
0.35,4,1.6524698389344974,1.171809503786578,0.801547478395222,8.099894830603791,5.018252095160294,2.9811487463709647,31.597458818595825,40.593882295270774
0.35,8,1.7635801491403502,1.0506182023105861,0.7703245056840722,8.690143232319244,4.56293602359182,2.92532190361627,26.678930177496856,35.889482375132324
0.35,16,1.8486979615462436,0.8337844092126847,0.6904614274833284,9.149634645248122,4.001370827507296,2.715508153048284,17.189453310201795,32.13555378620222
0.35,64,1.9181657682942326,0.6491264149674448,0.5918670808270793,9.524446610152282,3.4103017487067993,2.4737780480723677,8.820983528029318,27.461608081735445
0.35,256,1.9810474407637304,0.4758236044268802,0.4504370544472562,9.840779448863756,2.7476725883644497,1.9890856907832006,5.335285963839816,27.608343905079224
