epsilon,N,majorant_te_robust,majorant_te_cvar,majorant_val_robust,majorant_val_cvar,direct_alpha0,direct_lambda_l1,direct_te_robust,direct_te_cvar,direct_val_robust,direct_val_cvar,baseline_model,majorant_test_robust_adv_pct,majorant_test_cvar_adv_pct,majorant_val_robust_adv_pct,majorant_val_cvar_adv_pct
0.15,1,0.3376407068562462,1.7437975665436372,0.3290450955350033,1.7713476798092664,0.0075,0.001,0.3337343694669145,2.0572072258403358,0.32380379794306047,2.0800345685746917,direct,-1.1704929868540193,15.234715071967331,-1.6186646436013905,14.840469164747955
0.15,2,0.3330104790298628,2.070684778883674,0.3232750490866453,2.1260207927378674,0.01,0.001,0.3581024444105968,2.623488866420786,0.3542988157804495,2.675576810413621,direct,7.00692379300371,21.071333467913664,8.756384529670267,20.539721212144794
0.15,4,0.3264662612810908,1.9598727388527037,0.3185750420438261,2.0115921139848902,0.005,0.0001,0.33539850467450527,2.3319421850857767,0.3276131082733864,2.399466377012734,direct,2.663173290555652,15.955346089310828,2.7587620889754647,16.165021804170298
0.15,8,0.3219429329725125,1.9581038422082688,0.31398834747034327,2.0060161404830574,0.005,0.001,0.3297448109931364,2.332866597790648,0.3224803773863684,2.3893482405714286,direct,2.366035115799389,16.064474322590932,2.6333477977330486,16.043375075233683
0.15,16,0.3130710846670022,1.9522893592884436,0.30503788994788117,2.001423806015512,0.005,0.001,0.31452700703923164,2.300805238139283,0.3065231151473289,2.3529366845741517,direct,0.46289264185439805,15.147561083122907,0.4845393792679709,14.939325858751637
0.25,1,0.5095291765831056,1.6306040716863877,0.50339025173085,1.656021954817291,0.005,0.001,0.6013281598861072,2.871279616386309,0.5878373628095943,2.8698993593719697,direct,15.266037652450624,43.20984754042839,14.365727056736528,42.29686314924702
0.25,2,0.5725292489541316,2.4831775095738435,0.5606929551315497,2.526130170484288,0.0075,0.001,0.7493330458749183,4.002175400607378,0.7419335099327646,4.0432139504639295,direct,23.594821807751895,37.95430582085453,24.428139769241486,37.521728965284346
0.25,4,0.5401074719643846,2.260584919139025,0.5292508463702509,2.2993921418212637,0.005,0.001,0.6966237818238252,3.708820157187632,0.6927166179333316,3.7502332812090273,direct,22.467839017735876,39.048408298848116,23.597784047792683,38.68669041623008
0.25,8,0.5370055735315689,2.268201037365759,0.5251664133791666,2.301737761785261,0.005,0.001,0.6354172834298828,3.4821870667985606,0.6302146254943024,3.5028032286621773,direct,15.487729475519295,34.862745916430946,16.66864078769075,34.288693611134946
0.25,16,0.5127609094866623,2.2183600901415566,0.5001664387818033,2.255009270855287,0.005,0.001,0.5436770477648153,3.1989843937226583,0.5321609671781388,3.209964190309768,direct,5.6864895079269075,30.654238435966523,6.012189989429531,29.749706315643543
0.35,1,0.6617587045770135,2.081059946398901,0.656008118439108,2.1087738460935537,0.005,0.001,0.9587405212273155,3.9059342106690904,0.9420997967953291,3.876710927805463,direct,30.976245404765592,46.72055815188927,30.36744932218411,45.60404721000714
0.35,2,0.8827466621234125,3.3506846567122444,0.8705408774553554,3.382289621936941,0.005,0.0001,1.2047502908835799,5.035819442775862,1.2001306446284157,5.051104270408564,direct,26.727831584419512,33.46297072825018,27.4628240390535,33.038610155965735
0.35,4,0.801547478395222,2.9811487463709647,0.7882380517621353,3.0122915743008485,0.005,0.001,1.171809503786578,5.018252095160294,1.1811692798491802,5.0328371167492545,direct,31.597458818595825,40.593882295270774,33.26629254506322,40.147246882360676
0.35,8,0.7703245056840722,2.92532190361627,0.7565209249440212,2.9364525574241966,0.005,0.001,1.0506182023105861,4.56293602359182,1.0539846859561737,4.5404621349246215,direct,26.678930177496856,35.889482375132324,28.222778279012058,35.32701143266012
0.35,16,0.6904614274833284,2.715508153048284,0.6747327294005119,2.733979199565641,0.005,0.001,0.8337844092126847,4.001370827507296,0.8236182320478942,3.968961147607595,direct,17.189453310201795,32.13555378620222,18.077004230125453,31.115999933291736
