comparison,dataset,sampling_policy,model,split_seed,epsilon,N,stage_index,alpha0,lambda_l1,lmaj_factor,Lmaj,eps_tol_k,mu_k,stepsize,inner_steps_per_stage,actual_update_count,train_objective,stationarity_proxy,runtime_sec,x_box,m_groups,group_names,bank_seed,bank_hash,init_w_norm,init_b,failed,tr_sampled_robust_loss,tr_sampled_mean_loss,tr_robust_loss,tr_cvar_loss,tr_clean_loss,val_robust_loss,val_cvar_loss,val_clean_loss,te_robust_loss,te_cvar_loss,te_clean_loss
strict_fair,breast,uniform_iid_nested,direct,202600,0.15,1,0,0.0075,0.001,,,0.1,0.07213475204444818,0.0075,600,600,0.1277573031876463,0.09193975928947552,0.10049796104431152,2.0,5,"size,texture,surface,irregularity,shape",203377.0,a99bcb3863972856,0.0,0.0,False,0.12219415214734022,0.12219415214734022,0.3435458086665263,1.9620515704421617,0.1317332250623846,0.3812025015367008,2.4328821198172386,0.16455689039070825,0.38355644134974465,2.267308609812781,0.16147020544796137
strict_fair,breast,uniform_iid_nested,direct,202601,0.15,1,0,0.0075,0.001,,,0.1,0.07213475204444818,0.0075,600,600,0.14207430310042543,0.11149379287027615,0.1033029556274414,2.0,5,"size,texture,surface,irregularity,shape",203378.0,81ae10197de3c9c8,0.0,0.0,False,0.1364513826514007,0.1364513826514007,0.3398284061016345,2.0395618162440767,0.1392027284339297,0.34317022610451775,2.2960694107377413,0.16050975688315441,0.3145309879534348,1.882180682135554,0.11055797911261923
strict_fair,breast,uniform_iid_nested,direct,202602,0.15,1,0,0.0075,0.001,,,0.1,0.07213475204444818,0.0075,600,600,0.16854330705985293,0.1201161936090644,0.1047370433807373,2.0,5,"size,texture,surface,irregularity,shape",203379.0,39630bab82e902cb,0.0,0.0,False,0.16340453053451684,0.16340453053451684,0.29298246386865523,1.8830588813438627,0.15446627741777058,0.20403904602948258,1.55287570619286,0.10644646488878796,0.2950844284662168,2.2099947548792542,0.18652054856523675
strict_fair,breast,uniform_iid_nested,direct,202603,0.15,1,0,0.0075,0.001,,,0.1,0.07213475204444818,0.0075,600,600,0.1320240594111902,0.10048595538208303,0.10355091094970703,2.0,5,"size,texture,surface,irregularity,shape",203380.0,a19f944d2797c0d1,0.0,0.0,False,0.12643927010397227,0.12643927010397227,0.34021453309463884,1.9509577634509534,0.13397684341690463,0.3570340103239386,2.2405377010134853,0.16660916129206144,0.33867573138527535,1.8880965269015766,0.13306120109797442
strict_fair,breast,uniform_iid_nested,direct,202604,0.15,1,0,0.0075,0.001,,,0.1,0.07213475204444818,0.0075,600,600,0.15741527892709717,0.09520884103410922,0.10426497459411621,2.0,5,"size,texture,surface,irregularity,shape",203381.0,08b0814bbc352e36,0.0,0.0,False,0.1519392176843293,0.1519392176843293,0.3726715869139558,1.9990395239906693,0.1533624240722372,0.3335732057206627,1.8778079051121344,0.127311305208716,0.33682425817990086,2.0384555554725132,0.13481719368158646
strict_fair,breast,uniform_iid_nested,direct,202600,0.15,2,1,0.01,0.001,,,0.09000000000000001,0.06492127684000336,0.009000000000000001,600,1200,0.14553113788342273,0.04353963484314481,0.1329939365386963,2.0,5,"size,texture,surface,irregularity,shape",203377.0,413f78ec4c89bd84,0.0,0.0,False,0.0937504237803596,0.09298773613529936,0.3550340098846724,2.4240438257739165,0.09974108093151988,0.3973557941051443,2.9344531532595535,0.1355705538796298,0.4062460082277294,2.830260654643316,0.13464449851337962
strict_fair,breast,uniform_iid_nested,direct,202601,0.15,2,1,0.01,0.001,,,0.09000000000000001,0.06492127684000336,0.009000000000000001,600,1200,0.15013826801784663,0.051515544210104416,0.1406552791595459,2.0,5,"size,texture,surface,irregularity,shape",203378.0,4c5528b9a6768ace,0.0,0.0,False,0.09854659780634209,0.0973505890710571,0.3377333691805112,2.685016133443429,0.09927790800770254,0.3905233941511267,3.044449204655981,0.1278378117163338,0.3082312345632848,2.3976148756923576,0.07622355984113997
strict_fair,breast,uniform_iid_nested,direct,202602,0.15,2,1,0.01,0.001,,,0.09000000000000001,0.06492127684000336,0.009000000000000001,600,1200,0.1622348640354231,0.05934447491821871,0.13629674911499023,2.0,5,"size,texture,surface,irregularity,shape",203379.0,85d8a599c3bddf16,0.0,0.0,False,0.11411853223252767,0.1098382652604153,0.3005677082739687,2.281273823153944,0.10555777000464754,0.21582903048515137,1.8789318050077775,0.06808079315766284,0.36744879723893115,2.886341038589784,0.15996802516567826
strict_fair,breast,uniform_iid_nested,direct,202603,0.15,2,1,0.01,0.001,,,0.09000000000000001,0.06492127684000336,0.009000000000000001,600,1200,0.14945564806769177,0.05201308033015249,0.13493895530700684,2.0,5,"size,texture,surface,irregularity,shape",203380.0,f3f0d17901dbd68d,0.0,0.0,False,0.09940486183512232,0.09668834582437888,0.3658858851961137,2.6025448431809983,0.09479349338756737,0.3848292088084614,3.1205756817825225,0.14788050546961476,0.34281866232285163,2.5222041201788685,0.09213845365450085
strict_fair,breast,uniform_iid_nested,direct,202604,0.15,2,1,0.01,0.001,,,0.09000000000000001,0.06492127684000336,0.009000000000000001,600,1200,0.16904502835668053,0.04854609503534711,0.14151811599731445,2.0,5,"size,texture,surface,irregularity,shape",203381.0,4be21fef3b71609d,0.0,0.0,False,0.119639044202221,0.11650647962287036,0.4204906529529611,2.4697118173844146,0.11791055730143363,0.3829566513523638,2.3994742073622706,0.09731942768989495,0.3657675197001873,2.4810236429996033,0.10096107348695556
