comparison,dataset,sampling_policy,model,split_seed,epsilon,N,stage_index,alpha0,lambda_l1,lmaj_factor,Lmaj,eps_tol_k,mu_k,stepsize,inner_steps_per_stage,actual_update_count,train_objective,stationarity_proxy,runtime_sec,x_box,m_groups,group_names,bank_seed,bank_hash,init_w_norm,init_b,failed,source_config_N,warm_start_from_N,checkpoint_path,tr_sampled_robust_loss,tr_sampled_mean_loss,tr_robust_loss,tr_cvar_loss,tr_clean_loss,val_robust_loss,val_cvar_loss,val_clean_loss,te_robust_loss,te_cvar_loss,te_clean_loss
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.15,1,0,0.003,0.01,,,0.1,0.07213475204444818,0.003,500,500,0.38676086628452133,0.21772688219853434,0.11248207092285156,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,878a922393571c2f,0.0,0.0,False,1,,,0.36712112577087125,0.36712112577087125,0.8691733154693602,1.8935835863468153,0.47021591422908326,0.9035576371160658,1.6214513505005022,0.47338262463528213,0.7806586857645659,2.2495189117115926,0.464044526073446
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.15,1,0,0.003,0.01,,,0.1,0.07213475204444818,0.003,500,500,0.46362683363722823,0.2065881363456674,0.1136927604675293,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,eb373f865a221ab1,0.0,0.0,False,1,,,0.4471517695973959,0.4471517695973959,0.8516531383571169,2.1206205609260294,0.5197912974110547,0.9949570954174182,2.225467607241943,0.5780332338852123,1.067658201728005,2.061870837950788,0.6349031724764427
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.15,1,0,0.003,0.01,,,0.1,0.07213475204444818,0.003,500,500,0.45053618965155556,0.23155082706702754,0.10951113700866699,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,c7d6f782f291a376,0.0,0.0,False,1,,,0.43396254631420067,0.43396254631420067,0.7151852481044245,1.6617891379700573,0.48031762851351306,0.7078187943267511,1.556443469243671,0.4867622643886433,0.7738095472178154,1.5917836735463964,0.5389231766111392
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.15,1,0,0.003,0.01,,,0.1,0.07213475204444818,0.003,500,500,0.3898083110053431,0.21879894517984141,0.1098470687866211,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,2141710adbb0ef41,0.0,0.0,False,1,,,0.36991459510303687,0.36991459510303687,0.8861826467784943,2.1093533469320347,0.4751540287409122,1.1892020772406935,1.9446098068007984,0.6610503810592646,0.6123716290822067,1.5999654727916341,0.35195211674746235
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.15,2,1,0.003,0.01,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.44288069073293856,0.1795711785873449,0.14343881607055664,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,08cad879d6be4645,0.0,0.0,False,2,,,0.39836248266966223,0.3683595050243482,0.755008854441625,1.959983576736614,0.4131583598167658,0.7331767632709668,1.557558861249186,0.4063264139831712,0.668394759770575,2.21282848667577,0.41782065747439373
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.15,2,1,0.003,0.01,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.4746720374127409,0.14204750035643568,0.14429211616516113,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,0a551b1ac70c9283,0.0,0.0,False,2,,,0.41138554922467235,0.4079725155784989,0.9066147413143095,2.4650139552614583,0.48127306847344603,1.1200103798751648,2.7269505080443204,0.5862858331752988,1.212849998778529,2.5248519855230613,0.6371575538108012
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.15,2,1,0.003,0.01,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.42805574159811777,0.16170764526005055,0.14037299156188965,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,99d44c2ab4480d18,0.0,0.0,False,2,,,0.3780894635500218,0.3580041469691036,0.7850235531382118,2.032203288311966,0.4263748408931077,0.7958082773092423,1.9747998095946584,0.46501258104811677,0.8706760763877687,1.9448060119077692,0.5075649062245133
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.15,2,1,0.003,0.01,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.48518246425391265,0.19389998493711985,0.1418440341949463,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,cd716bda859ed508,0.0,0.0,False,2,,,0.4384563864376053,0.41747507806954487,0.5291967589672905,1.1627384529205902,0.42625159781672606,0.7467173228154999,1.229762167926854,0.6234272939889935,0.4451340190245884,1.0111776000015555,0.3713967680472115
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.15,4,2,0.003,0.01,,,0.08100000000000002,0.029214574578001515,0.0012150000000000002,500,1500,0.4648419464960135,0.28444652015689875,0.20517921447753906,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,9e79323302b9ea2b,0.0,0.0,False,4,,,0.4367692649755258,0.3884501223347132,0.5066369666540191,1.3189822297830602,0.3996289435879253,0.5209768238579463,1.2774000153908713,0.43081919318774353,0.46568341926322226,1.3684470931994697,0.39221852032167653
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.15,4,2,0.003,0.01,,,0.08100000000000002,0.029214574578001515,0.0012150000000000002,500,1500,0.4995630410812943,0.27128137917969564,0.20447111129760742,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,8f0d972cc5b65489,0.0,0.0,False,4,,,0.44950800022999665,0.4368427305270531,0.5551059125679719,1.5010203996415958,0.44188059414926933,0.7160391524212901,2.0316455883991185,0.5409685907675932,0.7350183731578072,1.772951909122654,0.5589671969786719
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.15,4,2,0.003,0.01,,,0.08100000000000002,0.029214574578001515,0.0012150000000000002,500,1500,0.45197344660131955,0.262467760559678,0.20176982879638672,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,c2c0a67051faf557,0.0,0.0,False,4,,,0.42053920140373224,0.37275428094668006,0.5881340141066264,1.5696154243705351,0.39819866841789275,0.6121520282446951,1.6489443221141071,0.44942757535512146,0.6704169393068939,1.4615670526313058,0.4955324126430258
