epsilon,N,majorant_te_robust,majorant_te_cvar,majorant_val_robust,majorant_val_cvar,erm_alpha0,erm_lambda_l1,erm_te_robust,erm_te_cvar,erm_val_robust,erm_val_cvar,baseline_model,majorant_test_robust_adv_pct,majorant_test_cvar_adv_pct,majorant_val_robust_adv_pct,majorant_val_cvar_adv_pct
0.15,1,0.7137346822209287,1.8248129170717275,0.8997204475466986,1.91393039251,0.005,0.0,0.5850902767176583,1.416994582942938,0.6855288568603941,1.4984236216752187,erm,-21.987103635521386,-28.78051469200375,-31.24472274839977,-27.729592941831093
0.15,2,0.5124198048623752,1.3817001751946207,0.5877358867402165,1.7175564471101459,0.005,0.0,0.5667196929286176,1.7110970995894277,0.6800242462034041,1.7801173129094265,erm,9.581436597983526,19.250627242243862,13.571333666179742,3.51442375991676
0.15,4,0.41470471260653774,1.1065997643207988,0.4672933187051911,1.4666057710649354,0.005,0.0,0.5619090939240505,1.9411494748905178,0.6888205708303781,2.026555047344519,erm,26.197187927591973,42.99255267896297,32.160371148343366,27.630597896331953
0.15,8,0.41271769130550173,1.1089211744056335,0.460375739933373,1.4676732687985516,0.005,0.0,0.566432064704501,2.1209474043946095,0.7020404564472995,2.2310399806326404,erm,27.137300830451704,47.71576267719107,34.423189474988284,34.21573429704412
0.15,16,0.41182531860666727,1.1154196331929809,0.4545475634018336,1.465648097368294,0.005,0.0,0.5764320760133039,2.2709493867566857,0.7163704607403237,2.40844259729872,erm,28.556141175398015,50.88311348118613,36.548533431698544,39.145400475305195
0.15,64,0.41158992231824426,1.1143010541277525,0.4507446086554287,1.4578668640445054,0.005,0.0,0.5868784601572411,2.3927754570793334,0.7306210083520862,2.5557055681561245,erm,29.867945365047504,53.430604997600184,38.306645510771446,42.95638424827166
0.15,256,0.40841571574619884,1.1065899693035905,0.4448255179977278,1.4412876828785208,0.005,0.0,0.599504432787883,2.4956018258768244,0.7453915421084697,2.6839405735925297,erm,31.8744460575649,55.65839238337661,40.323240489225114,46.29956799120493
0.25,1,1.2838646690946693,2.987299921397959,1.559066418443657,3.0994240812911524,0.005,0.0,0.7278836238893839,1.734879414525045,0.861062839452204,1.8131622327176926,erm,-76.38323311004694,-72.19063736575531,-81.06302432416118,-70.94025153201662
0.25,2,0.8936118065587091,2.295127739294583,0.9626461855901732,2.5017611594740035,0.005,0.0,0.741489062961175,2.1727641839847283,0.9055517690146861,2.2396275908055143,erm,-20.51584456148605,-5.631699758850342,-6.304931261700306,-11.704337352542126
0.25,4,0.5058361334759338,1.5157605120676578,0.5857421633091904,1.8179438861773618,0.005,0.0,0.7575763903846793,2.4943854051576273,0.9467899687225694,2.5900928038605344,erm,33.229686154939145,39.23310692351198,38.133885797344576,29.81163132580749
0.25,8,0.46123317008049375,1.3831029156158385,0.5412676213354275,1.703657685523023,0.005,0.0,0.7740194530464389,2.7409518078630146,0.9823339466850202,2.879187911053007,erm,40.41064881959484,49.5393201862175,44.899835421346594,40.82853435919216
0.25,16,0.454238795590923,1.3932480628329877,0.5255687721661118,1.705896297015972,0.005,0.0,0.7878507085921123,2.9363700846138903,1.0128711656451586,3.1152587428627436,erm,42.34455961807195,52.55202775244902,48.11099476493188,45.24062243868863
0.25,64,0.45895932813753026,1.4140388310765963,0.5295596085042397,1.7209746832766153,0.005,0.0,0.7998641114334875,3.091423596655341,1.0395085269951858,3.3058732934055666,erm,42.62033743269216,54.25929877075187,49.05673260468674,47.94190428563757
0.25,256,0.4405726545336785,1.3673092239990943,0.5117811487769506,1.6673919561659594,0.005,0.0,0.8139141603830033,3.220056924421689,1.0637551806589545,3.4657560272131547,erm,45.869887025143,57.53773128577041,51.8891979957341,51.889517234520284
0.35,1,1.719561852099229,3.7109213891614976,2.0439311066579773,3.8944477323223214,0.005,0.0,0.9160666616295141,2.085052227843908,1.0840404224072961,2.152171549033306,erm,-87.71143237987121,-77.9773829933677,-88.54749919002842,-80.95433582288531
0.35,2,1.1433342794425558,2.860359061418876,1.2334233647298374,3.0917140747667555,0.005,0.0,0.9882851194472806,2.6729093332925067,1.205912456442186,2.7338229919632004,erm,-15.688707331947867,-7.012947494760985,-2.2813354436040187,-13.091230992484556
0.35,4,0.5659740875610115,1.8064517960610884,0.6577042879391178,2.110897473392932,0.005,0.0,1.046422574117131,3.091009629999302,1.2985685131290847,3.1931110482825833,erm,45.91342909067829,41.557872271608026,49.351591287679824,33.892137120371075
0.35,8,0.48575268949835065,1.549732658003996,0.5676472418168095,1.8647538385112479,0.005,0.0,1.0912292687081788,3.402515090877308,1.3695132896112494,3.5622603379925044,erm,55.48573490212599,54.45332007023042,58.55116951965161,47.65251100198585
0.35,16,0.4803014807590875,1.5455305217999045,0.5560251893355568,1.8629381281300743,0.005,0.0,1.1250623495509098,3.6370561923192297,1.4255082255418363,3.8518997703694096,erm,57.30890106216699,57.506003754801185,60.99459972430455,51.6358618035533
0.35,64,0.4795424760441585,1.5875563267680644,0.5618243528609459,1.8832341094991039,0.005,0.0,1.1516778902022282,3.8193442172819805,1.4712962098744917,4.082521495903249,erm,58.361406420683,58.433798148263215,61.81432745559291,53.87080970941851
0.35,256,0.44742956585649596,1.3384261072698325,0.47471171588056993,1.569206769636821,0.005,0.0,1.1747030497957176,3.969494495231058,1.5109887612113806,4.2745045968964615,erm,61.91126209008272,66.28220271176055,68.58271033730344,63.289154706345236
