epsilon,N,erm_robust,direct_robust,majorant_robust,erm_cvar,direct_cvar,majorant_cvar,majorant_vs_direct_robust_adv_pct,majorant_vs_direct_cvar_adv_pct
0.15,1,0.5850902767176583,0.8086245159481482,0.7137346822209287,1.416994582942938,1.8757847240001029,1.8248129170717275,11.734721351597525,2.717359101831162
0.15,2,0.5667196929286176,0.7992637134903653,0.5124198048623752,1.7110970995894277,1.923416021027039,1.3817001751946207,35.888518868866164,28.164257753408975
0.15,4,0.5619090939240505,0.5698774143814346,0.41470471260653774,1.9411494748905178,1.388227209808257,1.1065997643207988,27.22913697910398,20.2868409074302
0.15,8,0.566432064704501,0.541925676114657,0.41271769130550173,2.1209474043946095,1.315515241091441,1.1089211744056335,23.842381068842055,15.704422133064988
0.15,16,0.5764320760133039,0.5222619285517295,0.41182531860666727,2.2709493867566857,1.2840780228098123,1.1154196331929809,21.1458281577811,13.134590470427499
0.15,64,0.5868784601572411,0.507880577806952,0.41158992231824426,2.3927754570793334,1.2534343312220166,1.1143010541277525,18.95931045532288,11.10016485336079
0.15,256,0.599504432787883,0.49391594041287035,0.40841571574619884,2.4956018258768244,1.2235489257935805,1.1065899693035905,17.31068339183401,9.558993026301067
0.25,1,0.7278836238893839,1.263022993158254,1.2838646690946693,1.734879414525045,2.803708717827566,2.987299921397959,-1.650142242010948,-6.548155391571744
0.25,2,0.741489062961175,1.255758270535512,0.8936118065587091,2.1727641839847283,2.8857478389579634,2.295127739294583,28.83886751726248,20.46679518182199
0.25,4,0.7575763903846793,0.7603207969817419,0.5058361334759338,2.4943854051576273,2.047638269930856,1.5157605120676578,33.470696121431914,25.975181538346536
0.25,8,0.7740194530464389,0.6984727517288285,0.46123317008049375,2.7409518078630146,1.7185616257453833,1.3831029156158385,33.965474109208984,19.519737034978185
0.25,16,0.7878507085921123,0.6375113832721271,0.454238795590923,2.9363700846138903,1.5943002739539036,1.3932480628329877,28.748127875070843,12.61068660687748
0.25,64,0.7998641114334875,0.6030566088653003,0.45895932813753026,3.091423596655341,1.5756660667142368,1.4140388310765963,23.89448662189454,10.257708727248565
0.25,256,0.8139141603830033,0.5726768732284545,0.4405726545336785,3.220056924421689,1.4769311684289734,1.3673092239990943,23.067845912834073,7.422278490234932
0.35,1,0.9160666616295141,1.5921307018019264,1.719561852099229,2.085052227843908,3.2308488640508095,3.7109213891614976,-8.003812133832975,-14.859021430942995
0.35,2,0.9882851194472806,1.5716509092515247,1.1433342794425558,2.6729093332925067,3.332701219745256,2.860359061418876,27.252656890132698,14.172952424534612
0.35,4,1.046422574117131,0.9371328559049923,0.5659740875610115,3.091009629999302,2.4249635420396247,1.8064517960610884,39.60577905312599,25.506022472334127
0.35,8,1.0912292687081788,0.8397749033630052,0.48575268949835065,3.402515090877308,1.9029490985518411,1.549732658003996,42.156798500040814,18.56152856724573
0.35,16,1.1250623495509098,0.6986556035107984,0.4803014807590875,3.6370561923192297,1.6871284332095546,1.5455305217999045,31.25347047307207,8.392835342136788
0.35,64,1.1516778902022282,0.6477530412417793,0.4795424760441585,3.8193442172819805,1.6549763615714943,1.5875563267680644,25.96831731969203,4.073776300914099
0.35,256,1.1747030497957176,0.5922877291327633,0.44742956585649596,3.969494495231058,1.4883556953038606,1.3384261072698325,24.45739733429407,10.073505178036
