epsilon,N,majorant_te_robust,majorant_te_cvar,majorant_val_robust,majorant_val_cvar,direct_alpha0,direct_lambda_l1,direct_te_robust,direct_te_cvar,direct_val_robust,direct_val_cvar,baseline_model,majorant_test_robust_adv_pct,majorant_test_cvar_adv_pct,majorant_val_robust_adv_pct,majorant_val_cvar_adv_pct
0.15,1,0.7137346822209287,1.8248129170717275,0.8997204475466986,1.91393039251,0.003,0.01,0.8086245159481482,1.8757847240001029,0.9488839010252321,1.8369930584467287,direct,11.734721351597525,2.717359101831162,5.1811874377270355,-4.188221273319658
0.15,2,0.5124198048623752,1.3817001751946207,0.5877358867402165,1.7175564471101459,0.003,0.01,0.7992637134903653,1.923416021027039,0.8489281858177185,1.8722678367037546,direct,35.888518868866164,28.164257753408975,30.767302045215057,8.263315032211839
0.15,4,0.41470471260653774,1.1065997643207988,0.4672933187051911,1.4666057710649354,0.003,0.01,0.5698774143814346,1.388227209808257,0.6317449821847587,1.5351232083229167,direct,27.22913697910398,20.2868409074302,26.03133671293213,4.463318441575441
0.15,8,0.41271769130550173,1.1089211744056335,0.460375739933373,1.4676732687985516,0.003,0.01,0.541925676114657,1.315515241091441,0.6126072724818274,1.5080281614536908,direct,23.842381068842055,15.704422133064988,24.84977560447918,2.6760039160169473
0.15,16,0.41182531860666727,1.1154196331929809,0.4545475634018336,1.465648097368294,0.003,0.01,0.5222619285517295,1.2840780228098123,0.593023713977481,1.4756112511807677,direct,21.1458281577811,13.134590470427499,23.35086225251791,0.6751882519533114
0.25,1,1.2838646690946693,2.987299921397959,1.559066418443657,3.0994240812911524,0.003,0.001,1.263022993158254,2.803708717827566,1.4841687485318753,2.766434318157863,direct,-1.650142242010948,-6.548155391571744,-5.046438956882067,-12.036785437039528
0.25,2,0.8936118065587091,2.295127739294583,0.9626461855901732,2.5017611594740035,0.003,0.001,1.255758270535512,2.8857478389579634,1.3002695906845665,2.7581958062276284,direct,28.83886751726248,20.46679518182199,25.96564647156296,9.29718789995368
0.25,4,0.5058361334759338,1.5157605120676578,0.5857421633091904,1.8179438861773618,0.003,0.001,0.7603207969817419,2.047638269930856,0.8530546601994019,2.062641037390435,direct,33.470696121431914,25.975181538346536,31.335916602076484,11.86329306832048
0.25,8,0.46123317008049375,1.3831029156158385,0.5412676213354275,1.703657685523023,0.003,0.001,0.6984727517288285,1.7185616257453833,0.8000328576016743,1.8985360652897205,direct,33.965474109208984,19.519737034978185,32.34432608705211,10.26466567212452
0.25,16,0.454238795590923,1.3932480628329877,0.5255687721661118,1.705896297015972,0.003,0.001,0.6375113832721271,1.5943002739539036,0.7309253054418634,1.7621781930502232,direct,28.748127875070843,12.61068660687748,28.09541983932384,3.193882222366555
0.35,1,1.719561852099229,3.7109213891614976,2.0439311066579773,3.8944477323223214,0.003,0.01,1.5921307018019264,3.2308488640508095,1.8491608917318882,3.2370122628610245,direct,-8.003812133832975,-14.859021430942995,-10.532897153349975,-20.309946829803618
0.35,2,1.1433342794425558,2.860359061418876,1.2334233647298374,3.0917140747667555,0.003,0.01,1.5716509092515247,3.332701219745256,1.6444387825638267,3.2199855848045997,direct,27.252656890132698,14.172952424534612,24.99426687037748,3.983605101934895
0.35,4,0.5659740875610115,1.8064517960610884,0.6577042879391178,2.110897473392932,0.003,0.01,0.9371328559049923,2.4249635420396247,1.0569402941801709,2.374133640491911,direct,39.60577905312599,25.506022472334127,37.77280594177039,11.08767268233635
0.35,8,0.48575268949835065,1.549732658003996,0.5676472418168095,1.8647538385112479,0.003,0.01,0.8397749033630052,1.9029490985518411,0.9377269308435853,2.0899895017059595,direct,42.156798500040814,18.56152856724573,39.46561380015499,10.776880123601694
0.35,16,0.4803014807590875,1.5455305217999045,0.5560251893355568,1.8629381281300743,0.003,0.01,0.6986556035107984,1.6871284332095546,0.8149377447149357,1.8506909539721201,direct,31.25347047307207,8.392835342136788,31.77083857736228,-0.6617622532637437
